Month_Label,Total_Sales,MoM_Change_Percent
Jan 2025,10096190.73,
Feb 2025,10930697.98,8.265565422811694
Mar 2025,12973502.9,18.688696035127307
Apr 2025,12189456.66,-6.043442900837526
May 2025,10928066.09,-10.34820997509499
Jun 2025,12912332.64,18.157526992042563
Jul 2025,11044848.08,-14.462797792359227
Aug 2025,9448471.22,-14.45358821087559
Sep 2025,9179896.29,-2.8425226022967265
Oct 2025,12463801.54,35.772792483258
Nov 2025,12612864.040000001,1.1959633625552968
Dec 2025,12269303.95,-2.7238864139853325
Jan 2026,809389.99,-93.40313033813136
